Cuentas;Description;Estructura;NIVEL ;Naturaleza
11020205000;Depósitos a Plazo;Activo;Nivel 5;Deudora
11020205100;Depósitos a Plazo;Activo;Nivel 6;Deudora
11020205200;Depósitos a Plazo;Activo;Nivel 6;Deudora
11020205300;Depósitos a Plazo;Activo;Nivel 6;Deudora
11020209000;Depósitos en Tránsito;Activo;Nivel 5;Deudora
11020209100;Depósitos en Tránsito;Activo;Nivel 6;Deudora
11020209200;Depósitos en Tránsito;Activo;Nivel 6;Deudora
11020209300;Depósitos en Tránsito;Activo;Nivel 6;Deudora
11020300000;DEPOSITOS EN OTRAS INSTITUCIONES FINANCIERAS DEL EXTERIOR;Activo;Nivel 4;Deudora
11020301000;Depósitos en Cuenta Corriente con intereses;Activo;Nivel 5;Deudora
11020301100;Depósitos en Cuenta Corriente con intereses;Activo;Nivel 6;Deudora
11020301200;Depósitos en Cuenta Corriente con intereses;Activo;Nivel 6;Deudora
11020301300;Depósitos en Cuenta Corriente con intereses;Activo;Nivel 6;Deudora
11020302000;Depósitos en Cuenta Corriente sin intereses;Activo;Nivel 5;Deudora
11020302100;Depósitos en Cuenta Corriente sin intereses;Activo;Nivel 6;Deudora
11020302200;Depósitos en Cuenta Corriente sin intereses;Activo;Nivel 6;Deudora
11020302300;Depósitos en Cuenta Corriente sin intereses;Activo;Nivel 6;Deudora
11020303000;Otros Depósitos a la Vista con intereses;Activo;Nivel 5;Deudora
11020303100;Otros Depósitos a la Vista con intereses;Activo;Nivel 6;Deudora
11020303200;Otros Depósitos a la Vista con intereses;Activo;Nivel 6;Deudora
11020303300;Otros Depósitos a la Vista con intereses;Activo;Nivel 6;Deudora
11020304000;Otros Depósitos a la Vista sin intereses;Activo;Nivel 5;Deudora
11020304100;Otros Depósitos a la Vista sin intereses;Activo;Nivel 6;Deudora
11020304200;Otros Depósitos a la Vista sin intereses;Activo;Nivel 6;Deudora
11020304300;Otros Depósitos a la Vista sin intereses;Activo;Nivel 6;Deudora
11020305000;Depósitos a Plazo;Activo;Nivel 5;Deudora
11020305100;Depósitos a Plazo;Activo;Nivel 6;Deudora
11020305200;Depósitos a Plazo;Activo;Nivel 6;Deudora
11020305300;Depósitos a Plazo;Activo;Nivel 6;Deudora
11020309000;Depósitos en Tránsito;Activo;Nivel 5;Deudora
11020309100;Depósitos en Tránsito;Activo;Nivel 6;Deudora
11020309200;Depósitos en Tránsito;Activo;Nivel 6;Deudora
11020309300;Depósitos en Tránsito;Activo;Nivel 6;Deudora
11030000000;EFECTOS DE COBRO INMEDIATO;Activo;Nivel 3;Deudora
11030100000;CHEQUES U OTROS DOCUMENTOS SIMILARES RECIBIDOS;Activo;Nivel 4;Deudora
11030101000;Instituciones Financieras del País;Activo;Nivel 5;Deudora
11030101100;Instituciones Financieras del País;Activo;Nivel 6;Deudora
11030101200;Instituciones Financieras del País;Activo;Nivel 6;Deudora
11030101300;Instituciones Financieras del País;Activo;Nivel 6;Deudora
11030102000;Oficina matriz y sucursales en el exterior;Activo;Nivel 5;Deudora
11030102100;Oficina matriz y sucursales en el exterior;Activo;Nivel 6;Deudora
11030102200;Oficina matriz y sucursales en el exterior;Activo;Nivel 6;Deudora
11030102300;Oficina matriz y sucursales en el exterior;Activo;Nivel 6;Deudora
11030103000;Instituciones Financieras del Exterior;Activo;Nivel 5;Deudora
11030103100;Instituciones Financieras del Exterior;Activo;Nivel 6;Deudora
11030103200;Instituciones Financieras del Exterior;Activo;Nivel 6;Deudora
11030103300;Instituciones Financieras del Exterior;Activo;Nivel 6;Deudora
11040000000;DISPONIBILIDADES RESTRINGIDAS;Activo;Nivel 3;Deudora
11040100000;CAJA CHICA;Activo;Nivel 4;Deudora
11040101000;CAJA CHICA;Activo;Nivel 5;Deudora
11040101100;CAJA CHICA;Activo;Nivel 6;Deudora
11040101200;CAJA CHICA;Activo;Nivel 6;Deudora
11040101201;Caja Chica;Activo;Nivel 7;Deudora
11040101300;CAJA CHICA;Activo;Nivel 6;Deudora
11040101301;Caja Chica;Activo;Nivel 7;Deudora
11040200000;OTORGADAS EN GARANTÍA EN INSTITUCIONES FINANCIERAS DEL PAÍS;Activo;Nivel 4;Deudora
11040201000;OTORGADAS EN GARANTÍA EN INSTITUCIONES FINANCIERAS DEL PAÍS;Activo;Nivel 5;Deudora
11040201100;Con intereses;Activo;Nivel 6;Deudora
11040201200;Con intereses;Activo;Nivel 6;Deudora
11040201300;Con intereses;Activo;Nivel 6;Deudora
11040202000;Sin intereses;Activo;Nivel 5;Deudora
11040202100;Sin intereses;Activo;Nivel 6;Deudora
11040202200;Sin intereses;Activo;Nivel 6;Deudora
11040202300;Sin intereses;Activo;Nivel 6;Deudora
11040300000;OTORGADAS EN GARANTÍA EN INSTITUCIONES FINANCIERAS DEL EXTERIOR;Activo;Nivel 4;Deudora
11040301000;Con intereses;Activo;Nivel 5;Deudora
11040301100;Con intereses;Activo;Nivel 6;Deudora
11040301200;Con intereses;Activo;Nivel 6;Deudora
11040301300;Con intereses;Activo;Nivel 6;Deudora
11040302000;Sin intereses;Activo;Nivel 5;Deudora
11040302100;Sin intereses;Activo;Nivel 6;Deudora
11040302200;Sin intereses;Activo;Nivel 6;Deudora
11040302300;Sin intereses;Activo;Nivel 6;Deudora
11040400000;Por Orden Administrativa u Otros;Activo;Nivel 4;Deudora
11040401000;Con intereses;Activo;Nivel 5;Deudora
11040401100;Con intereses;Activo;Nivel 6;Deudora
11040401200;Con intereses;Activo;Nivel 6;Deudora
11040401300;Con intereses;Activo;Nivel 6;Deudora
11040402000;Sin intereses;Activo;Nivel 5;Deudora
11040402100;Sin intereses;Activo;Nivel 6;Deudora
11040402200;Sin intereses;Activo;Nivel 6;Deudora
11040402300;Sin intereses;Activo;Nivel 6;Deudora
11050000000;INTERESES POR COBRAR SOBRE DISPONIBILIDADES;Activo;Nivel 3;Deudora
11050100000;INTERESES POR COBRAR SOBRE DEPOSITOS EN INSTITUCIONES FINANCIERAS DEL PAÍS;Activo;Nivel 4;Deudora
11050101000;INTERESES POR COBRAR SOBRE DEPOSITOS EN INSTITUCIONES FINANCIERAS DEL PAÍS;Activo;Nivel 5;Deudora
11050101100;INTERESES POR COBRAR SOBRE DEPOSITOS EN INSTITUCIONES FINANCIERAS DEL PAÍS;Activo;Nivel 6;Deudora
11050101200;INTERESES POR COBRAR SOBRE DEPOSITOS EN INSTITUCIONES FINANCIERAS DEL PAÍS;Activo;Nivel 6;Deudora
11050101300;INTERESES POR COBRAR SOBRE DEPOSITOS EN INSTITUCIONES FINANCIERAS DEL PAÍS;Activo;Nivel 6;Deudora
11050200000;INTERESES POR COBRAR SOBRE DEPOSITOS EN OFICINA MATRIZ Y SUCURSALES DEL EXTERIOR;Activo;Nivel 4;Deudora
11050201000;INTERESES POR COBRAR SOBRE DEPOSITOS EN OFICINA MATRIZ Y SUCURSALES DEL EXTERIOR;Activo;Nivel 5;Deudora
11050201100;INTERESES POR COBRAR SOBRE DEPOSITOS EN OFICINA MATRIZ Y SUCURSALES DEL EXTERIOR;Activo;Nivel 6;Deudora
11050201200;INTERESES POR COBRAR SOBRE DEPOSITOS EN OFICINA MATRIZ Y SUCURSALES DEL EXTERIOR;Activo;Nivel 6;Deudora
11050201300;INTERESES POR COBRAR SOBRE DEPOSITOS EN OFICINA MATRIZ Y SUCURSALES DEL EXTERIOR;Activo;Nivel 6;Deudora
11050300000;INTERESES POR COBRAR SOBRE DEPOSITOS EN OTRAS INSTITUCIONES FINANCIERAS DEL EXTERIOR;Activo;Nivel 4;Deudora
11050301000;INTERESES POR COBRAR SOBRE DEPOSITOS EN OTRAS INSTITUCIONES FINANCIERAS DEL EXTERIOR;Activo;Nivel 5;Deudora
11050301100;INTERESES POR COBRAR SOBRE DEPOSITOS EN OTRAS INSTITUCIONES FINANCIERAS DEL EXTERIOR;Activo;Nivel 6;Deudora
11050301200;INTERESES POR COBRAR SOBRE DEPOSITOS EN OTRAS INSTITUCIONES FINANCIERAS DEL EXTERIOR;Activo;Nivel 6;Deudora
11050301300;INTERESES POR COBRAR SOBRE DEPOSITOS EN OTRAS INSTITUCIONES FINANCIERAS DEL EXTERIOR;Activo;Nivel 6;Deudora
11050400000;INTERESES POR COBRAR SOBRE DISPONIBILIDADES RESTRINGIDAS;Activo;Nivel 4;Deudora
11050401000;INTERESES POR COBRAR SOBRE DISPONIBILIDADES RESTRINGIDAS;Activo;Nivel 5;Deudora
11050401100;INTERESES POR COBRAR SOBRE DISPONIBILIDADES RESTRINGIDAS;Activo;Nivel 6;Deudora
11050401200;INTERESES POR COBRAR SOBRE DISPONIBILIDADES RESTRINGIDAS;Activo;Nivel 6;Deudora
11050401300;INTERESES POR COBRAR SOBRE DISPONIBILIDADES RESTRINGIDAS;Activo;Nivel 6;Deudora
12000000000;INVERSIONES EN VALORES NEGOCIABLES Y A VENCIMIENTO;Activo;Nivel 2;Deudora
